ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
CB205340,2023 DAIHATSU MIRA,DAIHATSU,MIRA,2023/11,"4,741 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/mira/cb205340/id/13262754/
CB205314,"2015 MERCEDES-BENZ A-CLASS
                                 A180-R17-REVCAM",MERCEDES-BENZ,A-CLASS,2015/11,"58,092 km","1,595cc",AT,Petrol,5,Location,,,,,/mercedes-benz/a-class/cb205314/id/13262728/
CB205299,2019 SUZUKI HUSTLER,SUZUKI,HUSTLER,2019/1,"18,061 km",660cc,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/hustler/cb205299/id/13262713/
CB205300,2018 HONDA FIT HYBRID,HONDA,FIT,2018/1,"41,838 km","1,500cc",AT,Hybrid(Petrol),5,Location,,,,,/honda/fit-hybrid/cb205300/id/13262714/
CB205301,2016 SUZUKI SOLIO BANDIT,SUZUKI,SOLIO,2016/3,"69,653 km","1,200cc",CVT,Hybrid(Petrol),5,Location,,,,,/suzuki/solio-bandit/cb205301/id/13262715/
CB205302,2018 TOYOTA PRIUS,TOYOTA,PRIUS,2018/5,"78,878 km","1,800cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/prius/cb205302/id/13262716/
CB205303,2023 TOYOTA PRIUS,TOYOTA,PRIUS,2023/6,"14,230 km","2,000cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/prius/cb205303/id/13262717/
CB205304,2012 DAIHATSU TANTO,DAIHATSU,TANTO,2012/8,"113,218 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/tanto/cb205304/id/13262718/
CB205305,2022 NISSAN ROOX,NISSAN,ROOX,2022/4,"28,751 km",660cc,CVT,Hybrid(Petrol),4,Location,,,,,/nissan/roox/cb205305/id/13262719/
CB205306,2019 DAIHATSU MOVE CANBUS,DAIHATSU,MOVE,2019/3,"15,189 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/move-canbus/cb205306/id/13262720/
CB205307,2023 SUZUKI ALTO,SUZUKI,ALTO,2023/3,"14,113 km",660cc,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/alto/cb205307/id/13262721/
CB205308,2021 HONDA N-ONE,HONDA,N-ONE,2021/2,"12,316 km",660cc,CVT,Petrol,4,Location,,,,,/honda/n-one/cb205308/id/13262722/
CB205309,2022 DAIHATSU TAFT,DAIHATSU,TAFT,2022/12,"5,996 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/taft/cb205309/id/13262723/
CB205310,2021 NISSAN KICKS,NISSAN,KICKS,2021/8,"34,124 km","1,200cc",CVT,Hybrid(Petrol),5,Location,,,,,/nissan/kicks/cb205310/id/13262724/
CB205311,2011 SUBARU LEGACY TOURING WAGON,SUBARU,LEGACY,2011/7,"73,200 km","2,500cc",AT,Petrol,5,Location,,,,,/subaru/legacy-touring-wagon/cb205311/id/13262725/
CB205312,2010 SUBARU SAMBAR,SUBARU,SAMBAR,2010/5,"113,950 km",660cc,AT,Petrol,ASK,Location,,,,,/subaru/sambar/cb205312/id/13262726/
CB205313,2002 SUBARU SAMBAR,SUBARU,SAMBAR,2002/4,"86,594 km",660cc,AT,Petrol,ASK,Location,,,,,/subaru/sambar/cb205313/id/13262727/
CB205298,"2015 MERCEDES-BENZ C-CLASS
                                 C180 AVANTGARDE (R17 LED)",MERCEDES-BENZ,C-CLASS,2015/11,"48,764 km","1,595cc",AT,Petrol,5,Location,,,,,/mercedes-benz/c-class/cb205298/id/13262712/
CB205297,"2024 MAZDA MAZDA2
                                 1.3 SPORT C",MAZDA,MAZDA2,2024,"5,400 km","1,299cc",AT,Petrol,5,Location,,,,,/mazda/mazda2/cb205297/id/13262711/
CB205296,"2015 HONDA VEZEL
                                 1.5X PUSHSTART REVCAM",HONDA,VEZEL,2015/12,"67,438 km","1,496cc",AT,Petrol,5,Location,,,,,/honda/vezel/cb205296/id/13262710/
CB205295,"2024 MAZDA MAZDA2
                                 1.3 SPORT C",MAZDA,MAZDA2,2024,"10,100 km","1,299cc",AT,Petrol,5,Location,,,,,/mazda/mazda2/cb205295/id/13262709/
BX351899,2002 TOYOTA WILL VS,TOYOTA,WILL,2002/2,"227,531 km","1,800cc",AT,Petrol,5,Location,,,,,/toyota/will-vs/bx351899/id/10575334/
BW742462,2011 DAIHATSU MIRA ES,DAIHATSU,MIRA,2011/11,"66,500 km",660cc,CVT,Petrol,4,Location,,,,,/daihatsu/mira-es/bw742462/id/10005246/
CB205277,"2024 MAZDA MAZDA2
                                 1.3 SPORT C",MAZDA,MAZDA2,2024,"33,700 km","1,299cc",AT,Petrol,5,Location,,,,,/mazda/mazda2/cb205277/id/13262691/
CB205276,"2015 MERCEDES-BENZ CLA-CLASS
                                 CLA180 SB (R18 BI)",MERCEDES-BENZ,CLA-CLASS,2015/12,"41,949 km","1,595cc",AT,Petrol,5,Location,,,,,/mercedes-benz/cla-class/cb205276/id/13262690/
CB205270,2012 TOYOTA CROWN,TOYOTA,CROWN,2012/7,"104,682 km","3,000cc",AT,Petrol,5,Location,,,,,/toyota/crown/cb205270/id/13262684/
CB205271,2020 HONDA FIT,HONDA,FIT,2020/6,"36,455 km","1,300cc",CVT,Petrol,5,Location,,,,,/honda/fit/cb205271/id/13262685/
CB205272,2020 MAZDA FLAIR CROSSOVER,MAZDA,FLAIR,2020/11,"17,011 km",660cc,CVT,Hybrid(Petrol),4,Location,,,,,/mazda/flair-crossover/cb205272/id/13262686/
